date,FL893178005.Q,FL103178005.Q,FL113178003.Q,FL763178000.Q,FL513178005.Q,FL543178075.Q,FL613178005.Q,FL663178003.Q,FL733178013.Q,FL893078005.Q,FL313078000.Q,FL213078005.Q,FL903078005.Q
1945:Q4,10548,10105,0,338,44,26,25,10,0,10107,9607,500,441
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,8604,8147,0,354,34,22,34,13,0,8718,8218,500,-114
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,10681,10333,0,244,44,2,52,6,0,11066,10566,500,-385
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,11603,11108,0,292,117,2,79,5,0,11878,11378,500,-275
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,9514,8806,0,336,217,47,100,8,0,9614,9114,500,-100
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,16929,16061,0,453,162,76,165,12,0,17015,16515,500,-86
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,21635,20537,0,615,128,133,212,10,0,22101,21601,500,-466
1952:Q1,20151,18812,0,721,192,165,247,14,0,22550,22045,505,-2399
1952:Q2,17866,16610,0,691,176,148,225,16,0,22479,21975,504,-4613
1952:Q3,18659,17238,0,803,189,159,253,17,0,9830,9332,498,8829
1952:Q4,18815,17381,0,801,218,149,246,20,0,12707,12197,510,6108
1953:Q1,17283,16007,0,720,189,139,214,14,0,14577,14065,512,2706
1953:Q2,16363,15201,0,634,195,125,198,10,0,16949,16441,508,-586
1953:Q3,18802,17399,0,744,248,160,240,11,0,7862,7363,499,10940
1953:Q4,19889,17986,0,977,355,231,319,21,0,10462,10005,457,9427
1954:Q1,16006,14340,0,851,323,185,294,13,0,10699,10256,443,5307
1954:Q2,12623,11324,0,693,239,140,205,22,0,11336,10886,450,1287
1954:Q3,14743,13163,0,884,266,168,233,29,0,4957,4482,475,9786
1954:Q4,16401,14767,0,948,246,183,235,22,0,7748,7245,503,8653
1955:Q1,14300,12936,0,738,220,189,198,19,0,10637,10107,530,3663
1955:Q2,13060,12026,0,533,159,156,171,15,0,13903,13373,530,-843
1955:Q3,16468,15248,0,582,182,198,238,20,0,6437,5911,526,10031
1955:Q4,19690,18430,0,573,165,222,274,26,0,9614,9070,544,10076
1956:Q1,16302,15133,0,531,167,204,250,17,0,10818,10322,496,5484
1956:Q2,13110,12175,0,468,108,154,192,13,0,13020,12544,476,90
1956:Q3,15539,14259,0,711,60,244,248,17,0,5843,5387,456,9696
1956:Q4,18206,16754,0,878,18,262,276,18,0,8655,8099,556,9551
1957:Q1,15570,14218,0,799,25,261,248,19,0,10121,9557,564,5449
1957:Q2,13118,11957,0,691,58,185,211,16,0,11920,11357,563,1198
1957:Q3,14921,13511,0,829,82,224,256,19,0,5227,4667,560,9694
1957:Q4,16256,14621,0,959,101,264,286,25,0,7776,7252,524,8480
1958:Q1,13257,11495,0,1020,15,387,318,22,0,7951,7393,558,5306
1958:Q2,10433,8991,0,824,73,300,221,24,0,8817,8245,572,1616
1958:Q3,11910,10322,0,899,105,335,219,30,0,4083,3476,607,7827
1958:Q4,13724,12026,0,934,166,348,217,33,0,7815,7227,588,5909
1959:Q1,13226,11682,0,813,104,380,209,38,0,7386,6810,576,5840
1959:Q2,13825,12591,0,571,98,339,191,35,0,8139,7543,596,5686
1959:Q3,14645,13275,0,528,127,418,251,46,0,6228,5649,579,8417
1959:Q4,15537,14150,0,475,145,434,283,50,0,7132,6578,554,8405
1960:Q1,14203,12817,0,595,118,376,261,36,0,5770,5180,590,8433
1960:Q2,13391,11903,0,772,111,337,235,33,0,4516,3926,590,8875
1960:Q3,13743,11795,0,1137,124,383,265,39,0,5575,5000,575,8168
1960:Q4,14924,12560,0,1474,139,418,285,48,0,6166,5613,553,8758
1961:Q1,13223,10921,0,1381,133,424,297,67,0,4233,3696,537,8990
1961:Q2,12313,10584,0,969,105,357,237,61,0,3361,2818,543,8952
1961:Q3,13156,11557,0,788,109,379,252,71,0,5610,5037,573,7546
1961:Q4,14666,13274,0,582,106,386,255,63,0,7518,6875,643,7148
1962:Q1,14624,12916,0,713,130,495,304,66,0,6304,5667,637,8320
1962:Q2,14611,13001,0,746,114,429,283,38,0,5529,4887,642,9082
1962:Q3,15911,13996,0,979,122,471,310,33,0,6321,5661,660,9590
1962:Q4,16302,14355,0,1078,114,440,287,28,0,7686,7016,670,8616
1963:Q1,15799,13596,0,1181,92,613,277,40,0,6321,5653,668,9478
1963:Q2,15416,13743,0,883,63,452,235,40,0,5972,5287,685,9444
